Subject,Code,Title,Prerequisites
ECE,ECE 100,Linear Electronic Systems,"MATH 20D, ECE 45, and ECE 65"
ECE,ECE 101,Linear Systems Fundamentals,ECE 45
ECE,ECE 102,Introduction to Active Circuit Design,ECE 65 and ECE 100
ECE,ECE 103,Fundamentals of Devices and Materials,ECE 65 and PHYS 2D or PHYS 4D and 4E
ECE,ECE 107,Electromagnetism,"MATH 20D-E, PHYS 2A–C or 4A–C, and ECE 45"
ECE,ECE 108,Digital Circuits,"ECE 25 or CSE 140, 45, and ECE 30 or CSE 30"
ECE,ECE 109,Engineering Probability and Statistics,"MATH 20A-B, and MATH 20C or MATH 31BH"
ECE,ECE 111,Advanced Digital Design Project,ECE 25 or CSE 140
ECE,ECE 115,Fast Prototyping,ECE 65
ECE,ECE 116,Advanced Hardware and Software Design,"CSE 8B or CSE 11 or ECE 15 or MAE 8 and ECE 5, ECE 18"
ECE,ECE 118,Computer Interfacing,"ECE 30 or CSE 30 and ECE 35, 45, 65"
ECE,ECE 121A,Power Systems Analysis and Fundamentals,ECE 35
ECE,ECE 121B,Energy Conversion,ECE 121A
ECE,ECE 123,Antenna Systems Engineering,ECE 107 with a grade of C– or better
ECE,ECE 124,Motor Drives,N/A
ECE,ECE 125A,Introduction to Power Electronics I,ECE 121A
ECE,ECE 125B,Introduction to Power Electronics II,ECE 125A
ECE,ECE 128A,Real World Power Grid Operation,upper-division standing
ECE,ECE 128B,Renewable Energy and Power Grid Modernization,N/A
ECE,ECE 128C,Power Grid Resiliency to Adverse Effects,N/A
ECE,ECE 129,Renewable and Energy Storage Resources,upper-division standing
ECE,ECE 134,Electronic Materials Science of Integrated Circuits,PHYS 2C–D with grades of C– or better
ECE,ECE 135A,Semiconductor Physics,ECE 103 with a grade of C– or better
ECE,ECE 135B,Electronic Devices,ECE 135A with a grade of C– or better
ECE,ECE 136L,Microelectronics Laboratory,ECE 135B
ECE,ECE 138L,Microstructuring Processing Technology Laboratory,upper-division standing for science and engineering students
ECE,ECE 139,Semiconductor Device Design and Modeling,N/A
ECE,ECE 140A,The Art of Product Engineering I,CSE 8B or CSE 11 or ECE 15
ECE,ECE 140B,The Art of Product Engineering II,ECE 140A
ECE,ECE 141A,Software Foundations I,ECE 17 and CSE 30 or ECE 30
ECE,ECE 141B,Software Foundations II,ECE 141A
ECE,ECE 143,Programming for Data Analysis,ECE 16
ECE,ECE 144,LabVIEW Programming: Design and Applications,CSE 11 or CSE 8B or ECE 15
ECE,ECE 145AL-BL-CL,Acoustics Laboratory,ECE 107 with a grade of C– or better or consent of instructor
ECE,ECE 148,Introduction to Autonomous Vehicles,"ECE 15 or ECE 35 or MAE 2 or MAE 3, and consent of instructor"
ECE,ECE 150,Entrepreneurship for Engineers,students must apply to enroll in order to gauge their past experience with and interest in entrepreneurship
ECE,ECE 153,Probability and Random Processes for Engineers,ECE 109 with a grade of C– or better
ECE,ECE 155,Digital Communications Theory,"ECE 101 or BENG 122A, ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 183 or MATH 186, and ECE 153"
ECE,ECE 156,Sensor Networks,"upper-division standing and consent of instructor, or graduate student in science and engineering"
ECE,ECE 157A,Communications Systems Laboratory I,ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 183 or MATH 186 and ECE 161A
ECE,ECE 157B,Communications Systems Laboratory II,ECE 157A or ECE 161A
ECE,ECE 158A,Data Networks I,ECE 109 with a grade of C– or better
ECE,ECE 158B,Data Networks II,ECE 158A with a grade of C– or better
ECE,ECE 159,Introduction to Data Processing and Information Theory,ECE 153
ECE,ECE 161A,Introduction to Digital Signal Processing,ECE 101
ECE,ECE 161B,Digital Signal Processing,ECE 161A with a grade of C– or better
ECE,ECE 161C,Applications of Digital Signal Processing,ECE 161A
ECE,ECE 163,Electronic Circuits and Systems,ECE 101 and 102 with grades of C– or better
ECE,ECE 164,Analog Integrated Circuit Design,ECE 102 with a grade of C– or better
ECE,ECE 165,Digital Integrated Circuit Design,ECE 102
ECE,ECE 166,Microwave Systems and Circuits,ECE 102 and 107 with grades of C– or better
ECE,ECE 171A,Linear Control System Theory,ECE 45
ECE,ECE 171B,Linear Control System Theory,ECE 171A with a grade of C– or better
ECE,ECE 172A,Introduction to Intelligent Systems: Robotics and Machine Intelligence,ECE 101 with a grade of C– or better
ECE,ECE 174,Introduction to Linear and Nonlinear Optimization with Applications,MATH 18 or MATH 31AH and ECE 15
ECE,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,ECE 109 and ECE 174
ECE,ECE 175B,Elements of Machine Intelligence: Probabilistic Reasoning and Graphical Models,ECE 175A
ECE,ECE 176,Introduction to Deep Learning and Applications,"MATH 18 or MATH 31AH, or consent of instructor"
ECE,ECE 180,Topics in Electrical and Computer Engineering,consent of instructor; department stamp
ECE,ECE 181,Physical Optics and Fourier Optics,ECE 103 and 107 with grades of C– or better
ECE,ECE 182,"Electromagnetic Optics, Guided-Wave, and Fiber Optics",ECE 107 with grades of C– or better
ECE,ECE 183,Optical Electronics,ECE 103 and 107 with grades of C– or better
ECE,ECE 184,Optical Information Processing and Holography,ECE 182 with a grade of C– or better
ECE,ECE 185,Lasers and Modulators,ECE 183 with a grade of C– or better
ECE,ECE 187,Introduction to Biomedical Imaging and Sensing,"MATH 20A-B-F, 20C or 21C, 20D or 21D, PHYS 2A–D, ECE 101 (may be taken concurrently) with grades of C– or better"
ECE,ECE 188,Topics in Electrical and Computer Engineering with Laboratory,upper-division standing
ECE,ECE 189,Technical Public Speaking,upper-division standing
ECE,ECE 190,Engineering Design,students enrolling in this course must have completed all of the breadth courses and one depth course
ECE,ECE 191,Engineering Group Design Project,completion of all of the breadth courses and one depth course
ECE,ECE 193H,Honors Project,admission to the ECE departmental honors program
ECE,ECE 194,Viacar Design Project,none
ECE,ECE 195,Teaching,consent of the department chair
ECE,ECE 196,Engineering Hands-on Group Project,BENG 1 or CENG 4 or CSE 11 or CSE 8B or ECE 5 or MAE 3 or NANO 4 or SE 1
ECE,ECE 197,ECE Internship,minimum UC San Diego 2
ECE,ECE 198,Directed Group Study,consent of instructor
ECE,ECE 199,Independent Study for Undergraduates,consent of instructor
ECE,ECE 200,Research Conference,graduate standing
ECE,ECE 201,Introduction to Biophysics,senior or graduate level standing
ECE,ECE 202,Implantable Medical Devices and Interfaces,senior or graduate level standing
ECE,ECE 203,Biomedical Integrated Circuits and Systems,graduate level standing
ECE,ECE 204,Statistical Learning in Bioinformatics,ECE 271A or ECE 271B or MATH 283; graduate standing
ECE,ECE 207A,Principles of Medical Imaging,graduate standing
ECE,ECE 208,Computational Evolutionary Biology,graduate standing
ECE,ECE 209,Statistical Learning for Biosignal Processing,ECE 271A-B; graduate standing
ECE,ECE 212AN,Principles of Nanoscience and Nanotechnology,graduate standing
ECE,ECE 212BN,Nanoelectronics,ECE 212AN with a grade of B– or above; graduate standing
ECE,ECE 212CN,Nanophotonics,ECE 212BN; graduate standing
ECE,ECE 213,Parallel Computing in Bioinformatics,graduate standing
ECE,ECE 217,Principles of Molecular Imaging,BENG 280A or ECE 207A and BENG 280B with a grade of B– or above; graduate standing
ECE,ECE 221,Magnetic Materials: Principles and Applications,graduate standing
ECE,ECE 222A,Antennas and Their System Applications,graduate standing
ECE,ECE 222B,Applied Electromagnetic Theory—Electromagnetics,ECE 222A with a grade of B– or above; graduate standing
ECE,ECE 222C,Applied Electromagnetic Theory—Computational Methods for Electromagnetics,ECE 222B with a grade of B– or above; graduate standing
ECE,ECE 222D,Advanced Antenna Design,ECE 222C with a grade of B– or above; graduate standing
ECE,ECE 225A,Probability and Statistics for Data Science,graduate standing
ECE,ECE 225B,Universal Probability and Its Applications in Data Science,ECE 225A or ECE 250 with a grade of B– or above; graduate standing
ECE,ECE 226,Optimization and Acceleration of Deep Learning on Various Hardware Platforms,ECE 250 or ECE 269 or ECE 271A with a grade of B– or above; graduate standing
ECE,ECE 227,Big Network Data,graduate standing
ECE,ECE 228,Machine Learning for Physical Applications,graduate standing
ECE,ECE 229,Computational Data Analysis and Product Development,"ECE 225A or ECE 269 with a grade of B– or above, graduate standing"
ECE,ECE 230A,Solid State Electronics I,graduate standing
ECE,ECE 230B,Solid State Electronics II,ECE 230A with a grade of B– or above; graduate standing
ECE,ECE 230C,Solid State Electronics III,ECE 230A with a grade of B– or above; graduate standing
ECE,ECE 235,Nanometer-Scale VLSI Devices,graduate standing
ECE,ECE 236A,Fundamentals of Heterostructure Materials and Devices,ECE 230A with a grade of B– or above; graduate standing
ECE,ECE 236B,Optical Processes in Semiconductors,graduate standing
ECE,ECE 236C,Heterojunction Field-Effect Transistors,ECE 236B with a grade of B– or above; graduate standing
ECE,ECE 238A,Thermodynamics of Solids,consent of instructor
ECE,ECE 238B,Solid State Diffusion and Reaction Kinetics,ECE 238A with a grade of B– or above
ECE,ECE 240A,Lasers and Optics,graduate standing
ECE,ECE 240B,Optical Information Processing,ECE 240A with a grade of B– or above; graduate standing
ECE,ECE 240C,Optical Modulation and Detection,ECE 240B with a grade of B– or above; graduate standing
ECE,ECE 241A,Nonlinear Optics,graduate standing
ECE,ECE 241B,Integrated Photonics,ECE 241A with a grade of B– or above; graduate standing
ECE,ECE 241C,Holographic Optical Elements,ECE 241B with a grade of B– or above; graduate standing
ECE,ECE 243B,Optical Fiber Communication,ECE 243A with a grade of B– or above; graduate standing
ECE,ECE 244A,Statistical Optics,graduate standing
ECE,ECE 247A,Advanced BioPhotonics,graduate standing
ECE,ECE 247B,BioElectronics,graduate standing
ECE,ECE 247C,BioNanotechnology,graduate standing
ECE,ECE 250,Random Processes,graduate standing
ECE,ECE 251A,Digital Signal Processing I,graduate standing
ECE,ECE 251B,Digital Signal Processing II,graduate standing; ECE 251A (for ECE 251B); SIO 207B (for SIO 207C) with a grade of B– or above
ECE,ECE 251C,Filter Banks and Wavelets,graduate standing
ECE,ECE 251D,Array Processing,graduate standing; ECE 251A or SIOC 207B with a grade of B– or above
ECE,ECE 252A,Speech Compression,graduate standing
ECE,ECE 252B,Speech Recognition,ECE 252A with a grade of B– or above; graduate standing
ECE,ECE 253,Fundamentals of Digital Image Processing,N/A
ECE,ECE 254,Detection Theory,graduate standing
ECE,ECE 255A,Information Theory,graduate standing
ECE,ECE 255B,Source Coding,ECE 255A with a grade of B– or above; graduate standing
ECE,ECE 255C,Network Information Theory,ECE 250; ECE 255B with a grade of B– or above; graduate standing
ECE,ECE 256,Fundamentals of Image and Video Compression,graduate standing
ECE,ECE 257A,Modern Communication Networks,graduate standing or consent of instructor
ECE,ECE 257B,Principles of Wireless Networks,graduate standing
ECE,ECE 257C,Stochastic Wireless Networks Models,ECE 257B with a grade of B– or above; graduate standing
ECE,ECE 258A,Digital Communications I,ECE 250 with a grade of B– or above; graduate standing
ECE,ECE 258B,Digital Communications II,ECE 258A with a grade of B– or above; graduate standing
ECE,ECE 259A,Algebraic Coding,graduate standing
ECE,ECE 259B,Probabilistic Coding,ECE 259A with a grade of B– or above; graduate standing
ECE,ECE 259C,Advanced Topics in Coding,ECE 259A-B with a grade of B– or above; graduate standing
ECE,ECE 260A,VLSI Digital System Algorithms and Architectures,graduate standing
ECE,ECE 260B,VLSI Integrated Circuits and Systems Design,graduate standing
ECE,ECE 260C,VLSI Advanced Topics,ECE 260B with a grade of B– or above; graduate standing
ECE,ECE 263,Power Management Integrated Circuits Design,graduate standing
ECE,ECE 264A,CMOS Analog Integrated Circuits and Systems I,graduate standing
ECE,ECE 264B,CMOS Analog Integrated Circuits and Systems II,ECE 250 and ECE 264A with a grade of B– or above; graduate standing
ECE,ECE 264C,CMOS Analog Integrated Circuits and Systems III,ECE 264B with a grade of B– or above; graduate standing
ECE,ECE 264D,CMOS Analog Integrated Circuits and Systems IV,ECE 250 and ECE 264A with a grade of B– or above; graduate standing
ECE,ECE 265A,Communication Circuit Design I,ECE 166 or consent of instructor; graduate standing
ECE,ECE 265B,Communication Circuit Design II,ECE 166 and ECE 265A with a grade of B– or above or consent of instructor; graduate standing
ECE,ECE 265C,Power Amplifiers for Wireless Communications,ECE 265A-B with a grade of B– or above; consent of instructor; graduate standing
ECE,ECE 265D,Communication Circuits III,ECE 265A-B with a grade of B– or above; graduate standing
ECE,ECE 266A,CMOS Circuit Lab I,graduate standing
ECE,ECE 266B,CMOS Circuit Lab II,ECE 266A with a grade of B– or above; graduate standing
ECE,ECE 267,Network/Graph Algorithms and Analysis,graduate standing
ECE,ECE 268,Security of Hardware Embedded Systems,graduate standing
ECE,ECE 269,Linear Algebra and Application,graduate standing
ECE,ECE 271A,Statistical Learning I,graduate standing
ECE,ECE 271B,Statistical Learning II,ECE 271A with a grade of B– or above; graduate standing
ECE,ECE 271C,Deep Learning and Applications,ECE 271A-B with a grade of B– or above; graduate standing
ECE,ECE 272A,Dynamic Systems I: Linear Systems,ECE 269 with a grade of B– or above; graduate standing
ECE,ECE 272B,Dynamic Systems II: Stochastic Systems,ECE 272A with a grade of B– or above; graduate standing
ECE,ECE 273,Convex Optimization and Applications,ECE 269 with a grade of B– or above; graduate standing
ECE,ECE 275A,Parameter Estimation I,graduate standing
ECE,ECE 275B,Parameter Estimation II,graduate standing
ECE,ECE 276A,Sensing and Estimation in Robotics,graduate standing
ECE,ECE 276B,Planning and Learning in Robotics,ECE 276A with a grade of B– or above; graduate standing
ECE,ECE 276C,Robot Manipulation and Control,ECE 276B with a grade of B– or above; graduate standing
ECE,ECE 277,GPU Programming,graduate standing
ECE,ECE 279,Special Seminar,graduate standing
ECE,ECE 280,Special Topics in Electronic Devices and Materials/Applied Physics,graduate standing
ECE,ECE 281,Special Topics in Nanoscience/Nanotechnology,graduate standing
ECE,ECE 282,Special Topics in Photonics/Applied Optics,graduate standing
ECE,ECE 283,Special Topics in Electronic Circuits and Systems,graduate standing
ECE,ECE 284,Special Topics in Computer Engineering,graduate standing
ECE,ECE 285,Special Topics in Signal and Image Processing/Robotics and Control Systems,graduate standing
ECE,ECE 286,State-of-the-Art Topics in Computational Statistics and Machine Learning,graduate standing
ECE,ECE 287,Special Topics in Communication Theory and Systems,graduate standing
ECE,ECE 289,Special Topics in Electrical and Computer Engineering,graduate standing
ECE,ECE 290,Graduate Seminar on Current ECE Research,graduate standing
ECE,ECE 291,Industry Sponsored Engineering Design Project,graduate standing
ECE,ECE 293,Graduate Seminar in Communication Theory and Systems,graduate standing
ECE,ECE 294,Graduate Seminar in Electronic Devices and Materials/Applied Physics,graduate standing
ECE,ECE 295,Graduate Seminar in Signal and Image Processing/Robotics and Control Systems,graduate standing
ECE,ECE 296,Graduate Seminar in Photonics/Applied Optics,graduate standing
ECE,ECE 297,Graduate Seminar in Nanoscience/Nanotechnology,graduate standing
ECE,ECE 298,Independent Study,consent of instructor
ECE,ECE 299,Research,N/A
ECE,ECE 501,Teaching,consent of department chair
ECON,ECON 1,Principles of Microeconomics,N/A
ECON,ECON 2,Market Imperfections and Policy,ECON 1
ECON,ECON 3,Principles of Macroeconomics,ECON 1
ECON,ECON 4,Financial Accounting,N/A
ECON,ECON 5,Data Analytics for the Social Sciences,N/A
ECON,"POLI 5R, POLI 5DR, ECON 5R",Data Analytics for the Social Sciences,N/A
ECON,ECON 86,10x10 Career Lessons,N/A
ECON,ECON 87,First-year Student Seminar,N/A
ECON,ECON 100A,Microeconomics A,ECON 1 and MATH 10C or 20C or 31BH
ECON,ECON 100B,Microeconomics B,ECON 100A
ECON,ECON 100C,Microeconomics C,ECON 100B
ECON,ECON 100AH,Honors Microeconomics A,department approval required
ECON,ECON 100BH,Honors Microeconomics B,department approval required
ECON,ECON 100CH,Honors Microeconomics C,department approval required
ECON,ECON 101,International Trade,ECON 100B or 102
ECON,ECON 102,Globalization,ECON 1 or 100B and 2 or 3 or MATH 20C
ECON,ECON 102T,Advanced Topic in Globalization,department approval required
ECON,ECON 103,International Monetary Relations,ECON 102 or 110B or 173A
ECON,ECON 104,Nobody’s Fool: Economics with Morals,ECON 100C
ECON,ECON 105,Industrial Organization and Firm Strategy,ECON 100C
ECON,ECON 106,International Economic Agreements,ECON 100B and 102
ECON,ECON 107,Economic Regulation and Antitrust Policy,ECON 2 or 100B and MATH 10C or MATH 20C or MATH 31BH
ECON,ECON 109,Game Theory,ECON 100C or MATH 31CH or MATH 109 or (CSE 20 and MATH 20 C)
ECON,ECON 109T,Advanced Topics in Game Theory,department approval required
ECON,ECON 110A,Long Run Macroeconomics,ECON 1 and ECON 3 and MATH 10C or MATH 20C or MATH 31BH
ECON,ECON 110B,Short Run Macroeconomics,ECON 1 and ECON 3 and MATH 10C or MATH 20C or MATH 31BH
ECON,ECON 110AH,Honors Macroeconomics A,department approval required
ECON,ECON 110BH,Honors Macroeconomics B,department approval required
ECON,ECON 111,Monetary Economics,ECON 110B
ECON,ECON 112,Macroeconomic Data Analysis,ECON 110B and ECON 120B or MATH 181B
ECON,ECON 113,Mathematical Economics,ECON 100C or MATH 140A or MATH 142A and MATH 18 or MATH 31AH
ECON,ECON 116,Economic Development,ECON 2 or 100B
ECON,ECON 117,Economic Growth,ECON 100A
ECON,ECON 118,"Law and Economics: Torts, Property, and Crime",ECON 2 or 100A and MATH 10A or 20A
ECON,ECON 119,Law and Economics: Contracts and Corporations,ECON 2 or 100A and MATH 10A or 20A
ECON,ECON 120A,Econometrics A,ECON 1 and MATH 10C or 20C or 31BH
ECON,ECON 120B,Econometrics B,ECON 120A or ECE 109 or MAE 108 or MATH 180A or MATH 183 or MATH 186
ECON,ECON 120C,Econometrics C,ECON 120B or MATH 181B
ECON,ECON 120AH,Honors Econometrics A,department approval required
ECON,ECON 120BH,Honors Econometrics B,department approval required
ECON,ECON 120CH,Honors Econometrics C,department approval required
ECON,ECON 121,Applied Econometrics and Data Analysis,(ECON 120B or MATH 181B) and (ECON 120C or ECON 5 or POLI 5 or POLI 5D)
ECON,ECON 122,Econometric Theory,ECON 120B or MATH 181B and MATH 18 or MATH 31AH
ECON,ECON 125,The Science of Population,PSYC 60 or MATH 183 or MATH 181A or MATH 11 or ECON 120A or MATH 186 or ECE 109 or MAE 108
ECON,ECON 129,"Cities, Inequality, Innovation",ECON 110A and (ECON 120A or ECE 109 or MAE 108 or MATH 180A or MATH 183 or MATH 186)
ECON,ECON 130,Public Policy,ECON 2 or 100A
ECON,ECON 131,Economics of the Environment,ECON 2 or 100A
ECON,ECON 132,Energy Economics,ECON 1 and (ECON 2 or 3 or 100A or 131 or ESYS 103 or MAE 124) and MATH 10C or 20C or 31BH
ECON,ECON 132T,Advanced Topics in Energy Economics,ECON 132
ECON,ECON 134,US Budget Policy,ECON 100A
ECON,ECON 135,Urban Economics,ECON 2 or 100A   and MATH 10A or 20A
ECON,ECON 136,Human Resources,ECON 100B
ECON,ECON 137,Corruption,ECON 100C and 120C
ECON,ECON 138,Economics of Discrimination,ECON 1
ECON,ECON 139,Labor Economics,ECON 2 or 100B
ECON,ECON 140,Economics of Health Care Production and Finance,ECON 2 or ECON 100B
ECON,ECON 141,Economics of Health Consumers,ECON 100C
ECON,ECON 142,Behavioral Economics,ECON 100B or ECON 109
ECON,ECON 143,Experimental Economics,ECON 100C
ECON,ECON 144,Economics of Conservation,ECON 2 or 100A
ECON,ECON 145,Economics of Ocean Resources,ECON 2 or 100A
ECON,ECON 146,Economic Stabilization,ECON 110B
ECON,ECON 147,Economics of Education,ECON 2 or 100A   and ECON 120B or MATH 181B
ECON,ECON 149,Introduction to Economic Design,MATH 109 or MATH 15A or ECON 100A or CSE 21 or CSE 20 or MATH 154 or MATH 188 or MATH 184
ECON,ECON 150,Public Economics: Taxation,ECON 100C
ECON,ECON 151,Public Economics: Expenditures I,ECON 100C
ECON,ECON 152,Public Economics: Expenditures II,ECON 100C
ECON,ECON 152T,Advanced Topics in Family Economics and Social Insurance,ECON 152
ECON,ECON 158,Economic History of the United States I,upper-division standing
ECON,ECON 159,Economic History of the United States II,upper-division standing
ECON,ECON 162,Economics of Mexico,ECON 1 and 3
ECON,ECON 164,The Indian Economy,ECON 1 and 3
ECON,ECON 164T,Advanced Topics in the Indian Economy,department approval required
ECON,ECON 165,Middle East Economics,ECON 1 and 3
ECON,ECON 165T,Advanced Topics in Middle East Economics,department approval required
ECON,ECON 167,Economics of China,ECON 1 and 3
ECON,ECON 168,Economics of Modern Israel,ECON 1 and 3
ECON,ECON 169,Economics of Korea,ECON 3 and 100A
ECON,ECON 171,Decisions Under Uncertainty,ECON 100A and ECE 109 or MAE 108 or MATH 181A or ECON 120A or MATH 180A or MATH 183 or MATH 186 or MATH 180B
ECON,ECON 172A,Operations Research A,ECON 100A   and ECON 120A or ECE 109 or MATH 180A or MATH 183 or MATH 186   and MATH 18 or 31AH
ECON,ECON 172B,Operations Research B,ECON 172A or MATH 171A
ECON,ECON 173A,Financial Markets,ECON 100A and ECON 120B or MATH 181B   and MATH 18 or 31AH
ECON,ECON 173B,Corporate Finance,ECON 4 or MGT 4   and ECON 173A
ECON,ECON 174,Financial Risk Management,ECON 173A
ECON,ECON 175,International Financial Markets,ECON 1 and ECON 3 and MATH 10C or MATH 20C or MATH 31BH
ECON,ECON 176,Marketing,ECON 120C
ECON,ECON 178,Machine Learning for Economics and Business,ECON 120C
ECON,ECON 181,Topics in Economics,ECON 1 and ECON 3
ECON,ECON 182,Topics in Microeconomics,ECON 100C
ECON,ECON 183,Topics in Macroeconomics,ECON 110B
ECON,ECON 184,Topics in Economics with Data Analytics,ECON 120B or MATH 181B
ECON,ECON 185,Detecting Discrimination in Data,ECON 120B or MATH 181B
ECON,ECON 186,Careers in Economics and Business,ECON 1 and ECON 3
ECON,ECON 190,An Introduction to Research in Economics,ECON 100A and ECE 109 or ECON 120A or MATH 181A or MATH 186 or MATH 183 or MAE 108 or MATH 180A
ECON,ECON 191A,Senior Essay Seminar A,department stamp required
ECON,ECON 191B,Senior Essay Seminar B,department stamp required
ECON,ECON 195P,Pedagogy and Learning Apprenticeship,consent of the department
ECON,ECON 198,Directed Group Study,upper-division standing and consent of instructor
ECON,ECON 199,Independent Study,consent of instructor and department approval
ECON,ECON 200A,Microeconomics A,none
ECON,ECON 200B,Microeconomics B,ECON 200A
ECON,ECON 200C,Microeconomics C,ECON 200B
ECON,ECON 201,Advanced Economic Theory,ECON 207 and 213
ECON,ECON 202A-B-C,Workshop in Economic Theory,ECON 207 or consent of instructor
ECON,ECON 204,Contract Theory,ECON 200A-B-C
ECON,ECON 205,Mathematics for Economists,none
ECON,ECON 206,Decisions,ECON 200A-B-C or consent of instructor
ECON,ECON 208,Games and Information,ECON 200A-B-C or consent of instructor
ECON,ECON 210A,Macroeconomics A,none
ECON,ECON 210B,Macroeconomics B,ECON 210A
ECON,ECON 210C,Macroeconomics C,ECON 210B
ECON,ECON 210D,Monetary Economics and Business Cycles,graduate standing and ECON 210A-B-C
ECON,ECON 211,Advanced Macroeconomics,graduate standing and ECON 210A-B-C or consent of instructor
ECON,ECON 212A-B-C,Workshop in Macroeconomics,ECON 210C
ECON,ECON 213,Advanced Macroeconomic Theory,ECON 210A-B-C or consent of instructor
ECON,ECON 214,Applied Macroeconomics,graduate standing and ECON 210A-B-C or consent of instructor
ECON,ECON 215,Macroeconomic Policy,ECON 210A-B-C or consent of instructor
ECON,ECON 216,Computation for Macroeconomics,ECON 210A-B-C or consent of instructor
ECON,ECON 217,Real Frictions and Financial Frictions,ECON 210A-B-C or consent of instructor
ECON,ECON 219,Readings in Macroeconomics,graduate standing or consent of instructor
ECON,ECON 220A,Econometrics A,graduate standing; enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor
ECON,ECON 220B,Econometrics B,"ECON 220A, graduate standing; Enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor"
ECON,ECON 220C,Econometrics C,"ECON 220B, graduate standing; enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor"
ECON,ECON 220D,Econometrics D,"ECON 220C, graduate standing; enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor"
ECON,ECON 220E,Econometrics E,"ECON 220D, graduate standing; enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor"
ECON,ECON 220F,Econometrics F,"ECON 220E, graduate standing; enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor"
ECON,ECON 221,Advanced Econometrics,"graduate standing and ECON 220A, 220B, 220C, 220D, and 220E or consent of instructor"
ECON,ECON 222A-B-C,Workshop in Econometrics,N/A
ECON,ECON 225,Forecasting,"graduate standing and ECON 220A, 220B, 220C, 220D, and 220E or consent of instructor"
ECON,ECON 226,Bayesian and Numerical Methods,"graduate standing and ECON 220A, 220B, 220C, 220D, and 220E or consent of instructor"
ECON,ECON 227,Nonparametric and Semiparametric Models,"graduate standing and ECON 220A, 220B, 220C, 220D, and 220E or consent of instructor"
ECON,ECON 228,Nonstandard Inference,"graduate standing and ECON 220A, 220B, 220C, 220D, and 220E or consent of instructor"
ECON,ECON 230,Public Economics: Taxation,ECON 200A-B-C and ECON 220A-B-C
ECON,ECON 231,Public Economics: Public Goods and Externalities,graduate standing and ECON 200A-B-C and ECON 220A-B-C
ECON,ECON 232,Public Economics: Redistribution and Social Insurance,graduate standing and ECON 200A-B-C and ECON 220A-B-C
ECON,ECON 233,Public Economics of Health Care,graduate standing and ECON 200A-B-C and ECON 220A-B-C
ECON,ECON 235A-B-C,Workshop in Applied Economics,N/A
ECON,ECON 237,Political Economy: Microeconomic Perspectives,graduate standing
ECON,ECON 241,Microeconomics of Development,graduate standing or consent of instructor
ECON,ECON 242,Macroeconomics of Development,graduate standing or consent of instructor
ECON,ECON 243,Organizational Economics of Development,graduate standing or consent of instructor
ECON,ECON 245,International Trade,consent of instructor
ECON,ECON 246,International Macroeconomics,consent of instructor
ECON,ECON 247,Empirical Topics in International Economics,consent of instructor
ECON,ECON 248,Spatial Economics,ECON 200A and ECON 210A and ECON 280
ECON,ECON 249A,International Development Workshop I,graduate standing or consent of instructor
ECON,ECON 249C,International Development Workshop III,graduate standing or consent of instructor
ECON,ECON 250A,Empirical Methods in Labor Economics,none
ECON,ECON 250B,Topics in Labor Economics,ECON 250A
ECON,ECON 250C,Advanced Topics in Labor Economics,ECON 250A and ECON 250B
ECON,ECON 260,Industrial Organization: Firms,ECON 220C
ECON,ECON 261,Industrial Organization: Markets,ECON 200C and 220C
ECON,ECON 262,Behavioral Game Theory,graduate standing and ECON 200A-B-C
ECON,ECON 263,Modeling Behavioral Economics,graduate standing and ECON 200A-B-C
ECON,ECON 264,Experimental Economics,consent of instructor
ECON,ECON 265,Alternative Choice Theory,N/A
ECON,ECON 266,Economics of Natural Resources,consent of instructor
ECON,ECON 267,Topics in Environmental and Resource Economics,graduate standing
ECON,ECON 268,Energy and Environmental Economics,graduate standing and ECON 200A-B-C or consent of instructor
ECON,ECON 270,Finance—Core Asset Pricing,N/A
ECON,ECON 272,Finance—Theory and Testing of Intertemporal Asset Pricing Models,N/A
ECON,ECON 280,Computation,enrollment limited to economics PhD students (EN75)
ECON,ECON 281,Special Topics in Economics,consent of instructor
ECON,ECON 284,Becoming an Economist,N/A
ECON,ECON 285,Precandidacy Presentation,graduate standing
ECON,ECON 286,Graduate Research Presentation Workshop,"graduate standing, ECON 285"
ECON,ECON 291,Advanced Field Advising,N/A
ECON,ECON 296,Original Research Paper,graduate standing
ECON,ECON 297,Independent Study,N/A
ECON,ECON 299,Research in Economics for Dissertation,N/A
ECON,ECON 500A-B-C,Teaching Methods in Economics,N/A
EDS,EDS 20S,Introduction to Principles of Learning,Summer Bridge participation
EDS,EDS 21S,Writing and Learning—Triton Transition,department approval required
EDS,EDS 22,"Education in Cuba: Institutional Structures, History, and Culture","Summer Bridge participation, instructor approval required"
